subject,customer_name,email_input,email_reply,category,tone,priority
Payment Problem,Client,I am unable to login to my account.,Please provide more details so we can assist you with the payment issue.,Delivery,Polite,Medium
Refund Request,Client,I am unable to login to my account.,Our support team will assist you shortly with your account issue.,Billing,Polite,Medium
Order Delay,Client,I need help with my account.,Your refund is being processed and will be completed within 5-7 business days.,Refund,Formal,Medium
Payment Problem,User,I am unable to login to my account.,Please provide more details so we can assist you with the payment issue.,Refund,Polite,Medium
Refund Request,Member,I am unable to login to my account.,Please provide more details so we can assist you with the payment issue.,Technical,Polite,Medium
Refund Request,Client,I need help with my account.,Thank you for reaching out. Please reset your password using the provided link.,Refund,Polite,Medium
Refund Request,Member,I am facing payment issues.,Please provide more details so we can assist you with the payment issue.,Technical,Polite,High
Account Support,Client,I am facing payment issues.,Thank you for reaching out. Please reset your password using the provided link.,Refund,Polite,High
Login Issue,Member,I am unable to login to my account.,Thank you for reaching out. Please reset your password using the provided link.,Technical,Formal,High
Login Issue,User,I am unable to login to my account.,Please provide more details so we can assist you with the payment issue.,Delivery,Polite,Low
Order Delay,Customer,My order has not been delivered yet.,Our support team will assist you shortly with your account issue.,Billing,Polite,Medium
Refund Request,Client,I am unable to login to my account.,We apologize for the delay. Our team is checking your order status.,General,Polite,Medium
Account Support,Customer,I need help with my account.,Please provide more details so we can assist you with the payment issue.,Technical,Formal,High
Account Support,Customer,I am facing payment issues.,Please provide more details so we can assist you with the payment issue.,Billing,Polite,Low
Account Support,User,I am unable to login to my account.,We apologize for the delay. Our team is checking your order status.,Refund,Polite,Medium
Refund Request,Member,I am unable to login to my account.,Thank you for reaching out. Please reset your password using the provided link.,Refund,Formal,Medium
Refund Request,Customer,I need help with my account.,Our support team will assist you shortly with your account issue.,General,Formal,Medium
Order Delay,User,I need help with my account.,Your refund is being processed and will be completed within 5-7 business days.,Refund,Polite,High
Order Delay,User,I am unable to login to my account.,Your refund is being processed and will be completed within 5-7 business days.,Technical,Formal,Low
Login Issue,User,I need help with my account.,Your refund is being processed and will be completed within 5-7 business days.,Refund,Formal,High
Login Issue,Member,I am unable to login to my account.,Our support team will assist you shortly with your account issue.,General,Formal,High
Account Support,Client,I am unable to login to my account.,Please provide more details so we can assist you with the payment issue.,Refund,Formal,Medium
Payment Problem,Member,When will my refund be processed?,Please provide more details so we can assist you with the payment issue.,Billing,Polite,Medium
Order Delay,Client,I am unable to login to my account.,Thank you for reaching out. Please reset your password using the provided link.,General,Polite,Medium
Order Delay,Member,I need help with my account.,Please provide more details so we can assist you with the payment issue.,Technical,Polite,High
Order Delay,Client,I need help with my account.,Please provide more details so we can assist you with the payment issue.,Billing,Formal,High
Order Delay,User,I am facing payment issues.,Thank you for reaching out. Please reset your password using the provided link.,Delivery,Polite,Medium
Account Support,Customer,My order has not been delivered yet.,Thank you for reaching out. Please reset your password using the provided link.,Technical,Formal,High
Account Support,Client,I am unable to login to my account.,Our support team will assist you shortly with your account issue.,Delivery,Polite,High
Payment Problem,User,When will my refund be processed?,Please provide more details so we can assist you with the payment issue.,Refund,Formal,High
Payment Problem,User,My order has not been delivered yet.,Please provide more details so we can assist you with the payment issue.,General,Formal,Medium
Payment Problem,Customer,When will my refund be processed?,Please provide more details so we can assist you with the payment issue.,Billing,Polite,Medium
Account Support,User,I am facing payment issues.,Our support team will assist you shortly with your account issue.,Refund,Polite,Medium
Login Issue,User,When will my refund be processed?,We apologize for the delay. Our team is checking your order status.,Technical,Polite,Medium
Refund Request,User,My order has not been delivered yet.,We apologize for the delay. Our team is checking your order status.,Billing,Formal,Low
Payment Problem,User,My order has not been delivered yet.,Please provide more details so we can assist you with the payment issue.,Delivery,Polite,Medium
Account Support,Customer,My order has not been delivered yet.,Thank you for reaching out. Please reset your password using the provided link.,General,Formal,Medium
Account Support,Member,My order has not been delivered yet.,We apologize for the delay. Our team is checking your order status.,General,Polite,High
Order Delay,Member,When will my refund be processed?,Please provide more details so we can assist you with the payment issue.,Delivery,Polite,Low
Refund Request,Member,I am facing payment issues.,We apologize for the delay. Our team is checking your order status.,Refund,Polite,Medium
Account Support,Client,I am unable to login to my account.,Your refund is being processed and will be completed within 5-7 business days.,General,Polite,Low
Login Issue,Client,I am unable to login to my account.,We apologize for the delay. Our team is checking your order status.,Delivery,Formal,Medium
Account Support,Client,I am facing payment issues.,Thank you for reaching out. Please reset your password using the provided link.,General,Polite,Low
Account Support,Client,I am facing payment issues.,Please provide more details so we can assist you with the payment issue.,Billing,Formal,Medium
Payment Problem,Customer,I am unable to login to my account.,Thank you for reaching out. Please reset your password using the provided link.,Technical,Formal,Medium
Account Support,Customer,I am unable to login to my account.,Please provide more details so we can assist you with the payment issue.,Refund,Polite,High
Refund Request,Client,I am facing payment issues.,Please provide more details so we can assist you with the payment issue.,General,Polite,Medium
Refund Request,Member,I am unable to login to my account.,Your refund is being processed and will be completed within 5-7 business days.,General,Formal,Medium
Payment Problem,Member,When will my refund be processed?,Thank you for reaching out. Please reset your password using the provided link.,General,Polite,High
Order Delay,Member,I need help with my account.,Our support team will assist you shortly with your account issue.,Technical,Formal,Medium
Order Delay,Member,I am facing payment issues.,Your refund is being processed and will be completed within 5-7 business days.,General,Formal,Medium
Payment Problem,Client,I am facing payment issues.,Your refund is being processed and will be completed within 5-7 business days.,Delivery,Formal,High
Account Support,User,I need help with my account.,Our support team will assist you shortly with your account issue.,Delivery,Polite,High
Order Delay,Member,I need help with my account.,We apologize for the delay. Our team is checking your order status.,General,Formal,High
Payment Problem,Customer,My order has not been delivered yet.,Please provide more details so we can assist you with the payment issue.,General,Formal,High
Account Support,Client,I need help with my account.,Our support team will assist you shortly with your account issue.,Delivery,Formal,High
Order Delay,Member,I am facing payment issues.,Please provide more details so we can assist you with the payment issue.,General,Polite,High
Order Delay,User,My order has not been delivered yet.,Please provide more details so we can assist you with the payment issue.,Delivery,Formal,High
Login Issue,Client,When will my refund be processed?,Thank you for reaching out. Please reset your password using the provided link.,Technical,Polite,Medium
Order Delay,Member,I am facing payment issues.,Your refund is being processed and will be completed within 5-7 business days.,Billing,Formal,Low
Refund Request,Client,I need help with my account.,Your refund is being processed and will be completed within 5-7 business days.,Delivery,Formal,Low
Refund Request,Customer,I am unable to login to my account.,Thank you for reaching out. Please reset your password using the provided link.,Billing,Formal,Low
Refund Request,Client,I am unable to login to my account.,Please provide more details so we can assist you with the payment issue.,Billing,Formal,High
Order Delay,User,When will my refund be processed?,Our support team will assist you shortly with your account issue.,Billing,Polite,Low
Login Issue,Customer,I am unable to login to my account.,Thank you for reaching out. Please reset your password using the provided link.,Technical,Formal,Low
Payment Problem,User,I am unable to login to my account.,Please provide more details so we can assist you with the payment issue.,Delivery,Formal,Medium
Account Support,Client,I am unable to login to my account.,Thank you for reaching out. Please reset your password using the provided link.,Technical,Formal,Medium
Payment Problem,Client,I am facing payment issues.,We apologize for the delay. Our team is checking your order status.,Billing,Formal,High
Login Issue,Customer,I am unable to login to my account.,Our support team will assist you shortly with your account issue.,Billing,Formal,Low
Account Support,User,I am unable to login to my account.,Your refund is being processed and will be completed within 5-7 business days.,Technical,Formal,Medium
Account Support,Client,I need help with my account.,We apologize for the delay. Our team is checking your order status.,Billing,Polite,High
Order Delay,Client,I need help with my account.,Your refund is being processed and will be completed within 5-7 business days.,Refund,Formal,Low
Login Issue,User,When will my refund be processed?,Thank you for reaching out. Please reset your password using the provided link.,Billing,Formal,High
Payment Problem,Client,I need help with my account.,Our support team will assist you shortly with your account issue.,General,Polite,Medium
Order Delay,User,When will my refund be processed?,Our support team will assist you shortly with your account issue.,Delivery,Formal,Low
Order Delay,Member,I am unable to login to my account.,Your refund is being processed and will be completed within 5-7 business days.,Refund,Polite,High
Refund Request,Member,I am facing payment issues.,We apologize for the delay. Our team is checking your order status.,Delivery,Formal,High
Payment Problem,Client,I am unable to login to my account.,Please provide more details so we can assist you with the payment issue.,Delivery,Polite,Low
Payment Problem,Client,I am unable to login to my account.,Your refund is being processed and will be completed within 5-7 business days.,General,Polite,Low
Refund Request,Customer,When will my refund be processed?,Your refund is being processed and will be completed within 5-7 business days.,Delivery,Formal,Medium
Payment Problem,Customer,I am facing payment issues.,Our support team will assist you shortly with your account issue.,Delivery,Polite,High
Order Delay,Client,When will my refund be processed?,Our support team will assist you shortly with your account issue.,Delivery,Polite,Low
Refund Request,Member,When will my refund be processed?,Please provide more details so we can assist you with the payment issue.,General,Polite,Low
Account Support,Customer,I am facing payment issues.,We apologize for the delay. Our team is checking your order status.,Billing,Formal,High
Payment Problem,Client,When will my refund be processed?,Your refund is being processed and will be completed within 5-7 business days.,Refund,Formal,Medium
Login Issue,Client,When will my refund be processed?,Our support team will assist you shortly with your account issue.,General,Polite,Low
Order Delay,Client,When will my refund be processed?,Your refund is being processed and will be completed within 5-7 business days.,Billing,Formal,High
Login Issue,Customer,I am facing payment issues.,We apologize for the delay. Our team is checking your order status.,Billing,Polite,High
Refund Request,Member,I need help with my account.,Our support team will assist you shortly with your account issue.,Delivery,Polite,Medium
Payment Problem,Customer,When will my refund be processed?,Thank you for reaching out. Please reset your password using the provided link.,Delivery,Formal,High
Account Support,User,When will my refund be processed?,Our support team will assist you shortly with your account issue.,Technical,Formal,Low
Refund Request,User,When will my refund be processed?,Our support team will assist you shortly with your account issue.,Billing,Polite,Low
Login Issue,Member,I am facing payment issues.,We apologize for the delay. Our team is checking your order status.,Billing,Formal,Medium
Login Issue,User,I am facing payment issues.,Your refund is being processed and will be completed within 5-7 business days.,Billing,Polite,High
Refund Request,Member,I am facing payment issues.,We apologize for the delay. Our team is checking your order status.,Technical,Polite,High
Login Issue,Member,I am unable to login to my account.,Our support team will assist you shortly with your account issue.,Delivery,Polite,Medium
Login Issue,Customer,When will my refund be processed?,We apologize for the delay. Our team is checking your order status.,Delivery,Polite,Low
Login Issue,Customer,I need help with my account.,Please provide more details so we can assist you with the payment issue.,Technical,Formal,Low
Order Delay,Client,I am unable to login to my account.,Our support team will assist you shortly with your account issue.,Refund,Polite,High
Payment Problem,Client,My order has not been delivered yet.,Please provide more details so we can assist you with the payment issue.,General,Polite,Medium
Refund Request,User,My order has not been delivered yet.,Our support team will assist you shortly with your account issue.,Refund,Polite,High
Account Support,Member,When will my refund be processed?,Thank you for reaching out. Please reset your password using the provided link.,General,Polite,Low
Refund Request,Customer,My order has not been delivered yet.,Please provide more details so we can assist you with the payment issue.,Delivery,Formal,Medium
Login Issue,User,I am unable to login to my account.,We apologize for the delay. Our team is checking your order status.,Delivery,Polite,Medium
Account Support,Member,I need help with my account.,Please provide more details so we can assist you with the payment issue.,General,Polite,Low
Refund Request,User,When will my refund be processed?,Please provide more details so we can assist you with the payment issue.,Delivery,Polite,Medium
Account Support,User,I am facing payment issues.,Please provide more details so we can assist you with the payment issue.,Billing,Formal,High
Order Delay,Customer,When will my refund be processed?,Thank you for reaching out. Please reset your password using the provided link.,Refund,Polite,High
Login Issue,User,I am facing payment issues.,Our support team will assist you shortly with your account issue.,Billing,Polite,Low
Order Delay,Member,My order has not been delivered yet.,Our support team will assist you shortly with your account issue.,Refund,Formal,Low
Login Issue,Customer,I need help with my account.,We apologize for the delay. Our team is checking your order status.,Billing,Polite,Medium
Order Delay,User,I am facing payment issues.,We apologize for the delay. Our team is checking your order status.,Refund,Polite,Medium
Refund Request,User,My order has not been delivered yet.,Thank you for reaching out. Please reset your password using the provided link.,Technical,Polite,High
Order Delay,Customer,I need help with my account.,Our support team will assist you shortly with your account issue.,Refund,Formal,Medium
Payment Problem,User,When will my refund be processed?,Our support team will assist you shortly with your account issue.,Technical,Polite,Medium
Account Support,Customer,I am facing payment issues.,Your refund is being processed and will be completed within 5-7 business days.,Delivery,Formal,Low
Login Issue,Member,My order has not been delivered yet.,Please provide more details so we can assist you with the payment issue.,Billing,Formal,High
Refund Request,Client,When will my refund be processed?,We apologize for the delay. Our team is checking your order status.,Refund,Polite,Low
Account Support,Client,My order has not been delivered yet.,Thank you for reaching out. Please reset your password using the provided link.,Delivery,Formal,High
Login Issue,User,When will my refund be processed?,Please provide more details so we can assist you with the payment issue.,Billing,Polite,Low
Payment Problem,Customer,I am unable to login to my account.,Your refund is being processed and will be completed within 5-7 business days.,Billing,Polite,Medium
Order Delay,Client,I am unable to login to my account.,Thank you for reaching out. Please reset your password using the provided link.,Technical,Polite,High
Refund Request,Customer,When will my refund be processed?,Our support team will assist you shortly with your account issue.,Delivery,Formal,Low
Account Support,Customer,I need help with my account.,We apologize for the delay. Our team is checking your order status.,Delivery,Polite,High
Payment Problem,User,I am unable to login to my account.,We apologize for the delay. Our team is checking your order status.,Refund,Formal,Medium
Account Support,Member,I am unable to login to my account.,Your refund is being processed and will be completed within 5-7 business days.,Refund,Formal,Low
Order Delay,User,My order has not been delivered yet.,Please provide more details so we can assist you with the payment issue.,Refund,Formal,Medium
Login Issue,Member,When will my refund be processed?,Please provide more details so we can assist you with the payment issue.,General,Formal,High
Refund Request,Member,I need help with my account.,Your refund is being processed and will be completed within 5-7 business days.,General,Polite,Medium
Payment Problem,Customer,My order has not been delivered yet.,Our support team will assist you shortly with your account issue.,Delivery,Formal,Low
Order Delay,Customer,I am unable to login to my account.,Our support team will assist you shortly with your account issue.,General,Formal,High
Refund Request,User,When will my refund be processed?,Your refund is being processed and will be completed within 5-7 business days.,Delivery,Formal,Medium
Payment Problem,Customer,When will my refund be processed?,Please provide more details so we can assist you with the payment issue.,Technical,Formal,High
Refund Request,User,I need help with my account.,Our support team will assist you shortly with your account issue.,Refund,Polite,Low
Order Delay,Member,When will my refund be processed?,Please provide more details so we can assist you with the payment issue.,General,Formal,High
Account Support,Customer,I am facing payment issues.,Your refund is being processed and will be completed within 5-7 business days.,General,Polite,Low
Login Issue,Member,I am facing payment issues.,Your refund is being processed and will be completed within 5-7 business days.,Billing,Formal,Low
Login Issue,Customer,I am facing payment issues.,Our support team will assist you shortly with your account issue.,General,Formal,Low
Order Delay,Customer,I need help with my account.,Our support team will assist you shortly with your account issue.,Delivery,Polite,Low
Order Delay,Member,I am facing payment issues.,Our support team will assist you shortly with your account issue.,Billing,Polite,Medium
Login Issue,User,I am facing payment issues.,Your refund is being processed and will be completed within 5-7 business days.,Technical,Polite,Low
Payment Problem,User,I am unable to login to my account.,Please provide more details so we can assist you with the payment issue.,Technical,Polite,High
Order Delay,User,When will my refund be processed?,Your refund is being processed and will be completed within 5-7 business days.,Billing,Polite,Medium
Payment Problem,User,I am facing payment issues.,Please provide more details so we can assist you with the payment issue.,Delivery,Polite,High
Login Issue,Client,I need help with my account.,Thank you for reaching out. Please reset your password using the provided link.,Refund,Polite,Medium
Order Delay,Customer,When will my refund be processed?,Please provide more details so we can assist you with the payment issue.,Technical,Polite,High
Payment Problem,Client,When will my refund be processed?,Our support team will assist you shortly with your account issue.,General,Polite,Low
Payment Problem,Client,I need help with my account.,Please provide more details so we can assist you with the payment issue.,Refund,Formal,High
Login Issue,Member,My order has not been delivered yet.,Our support team will assist you shortly with your account issue.,General,Polite,Medium
Payment Problem,User,I need help with my account.,Your refund is being processed and will be completed within 5-7 business days.,General,Polite,Medium
Order Delay,Client,I am facing payment issues.,Please provide more details so we can assist you with the payment issue.,Refund,Polite,High
Login Issue,User,I need help with my account.,Your refund is being processed and will be completed within 5-7 business days.,Refund,Polite,Low
Account Support,Customer,My order has not been delivered yet.,Your refund is being processed and will be completed within 5-7 business days.,Technical,Polite,Medium
Account Support,User,My order has not been delivered yet.,Thank you for reaching out. Please reset your password using the provided link.,Billing,Polite,Low
Order Delay,Client,I need help with my account.,We apologize for the delay. Our team is checking your order status.,Delivery,Polite,Low
Refund Request,Member,My order has not been delivered yet.,Thank you for reaching out. Please reset your password using the provided link.,Billing,Formal,High
Login Issue,Customer,I am facing payment issues.,Our support team will assist you shortly with your account issue.,Billing,Formal,Low
Refund Request,Member,My order has not been delivered yet.,Your refund is being processed and will be completed within 5-7 business days.,Delivery,Polite,High
Order Delay,Client,I need help with my account.,Please provide more details so we can assist you with the payment issue.,Technical,Formal,Low
Order Delay,Customer,My order has not been delivered yet.,Thank you for reaching out. Please reset your password using the provided link.,Refund,Formal,High
Payment Problem,Customer,I need help with my account.,Thank you for reaching out. Please reset your password using the provided link.,General,Formal,Low
Refund Request,Member,I am unable to login to my account.,Your refund is being processed and will be completed within 5-7 business days.,Refund,Polite,High
Refund Request,Customer,I need help with my account.,Thank you for reaching out. Please reset your password using the provided link.,Billing,Polite,High
Login Issue,User,I need help with my account.,Thank you for reaching out. Please reset your password using the provided link.,Billing,Formal,High
Refund Request,Client,I need help with my account.,Please provide more details so we can assist you with the payment issue.,Delivery,Polite,Low
Refund Request,Client,My order has not been delivered yet.,Your refund is being processed and will be completed within 5-7 business days.,General,Polite,High
Account Support,Customer,I need help with my account.,Please provide more details so we can assist you with the payment issue.,General,Polite,High
Payment Problem,Customer,I need help with my account.,Our support team will assist you shortly with your account issue.,Delivery,Formal,Medium
Login Issue,Client,I need help with my account.,Our support team will assist you shortly with your account issue.,Delivery,Formal,Low
Payment Problem,Customer,My order has not been delivered yet.,Thank you for reaching out. Please reset your password using the provided link.,Delivery,Formal,High
Refund Request,Client,I need help with my account.,We apologize for the delay. Our team is checking your order status.,Refund,Formal,Medium
Login Issue,User,I am unable to login to my account.,Our support team will assist you shortly with your account issue.,Refund,Polite,Medium
Refund Request,Customer,I am unable to login to my account.,We apologize for the delay. Our team is checking your order status.,Refund,Polite,High
Account Support,Customer,I need help with my account.,Your refund is being processed and will be completed within 5-7 business days.,Billing,Formal,Low
Account Support,Member,I am facing payment issues.,Your refund is being processed and will be completed within 5-7 business days.,General,Formal,Low
Account Support,Client,I need help with my account.,Thank you for reaching out. Please reset your password using the provided link.,Billing,Formal,Medium
Account Support,Member,I am facing payment issues.,Thank you for reaching out. Please reset your password using the provided link.,Technical,Polite,High
Refund Request,Customer,My order has not been delivered yet.,Your refund is being processed and will be completed within 5-7 business days.,Refund,Polite,High
Account Support,Member,I am unable to login to my account.,We apologize for the delay. Our team is checking your order status.,Delivery,Polite,Low
Order Delay,Client,I am facing payment issues.,We apologize for the delay. Our team is checking your order status.,Technical,Formal,High
Login Issue,Customer,When will my refund be processed?,Our support team will assist you shortly with your account issue.,Refund,Formal,Medium
Account Support,Client,I need help with my account.,Your refund is being processed and will be completed within 5-7 business days.,Technical,Formal,High
Account Support,Customer,I need help with my account.,Our support team will assist you shortly with your account issue.,General,Polite,Low
Login Issue,Member,When will my refund be processed?,Your refund is being processed and will be completed within 5-7 business days.,General,Formal,Medium
Order Delay,Member,I need help with my account.,Please provide more details so we can assist you with the payment issue.,General,Polite,Low
Refund Request,Customer,My order has not been delivered yet.,Please provide more details so we can assist you with the payment issue.,Technical,Formal,Medium
Refund Request,Customer,My order has not been delivered yet.,Please provide more details so we can assist you with the payment issue.,Technical,Polite,Medium
Refund Request,User,When will my refund be processed?,Our support team will assist you shortly with your account issue.,Billing,Polite,High
Payment Problem,Client,When will my refund be processed?,Thank you for reaching out. Please reset your password using the provided link.,Billing,Formal,Medium
Login Issue,Member,I need help with my account.,We apologize for the delay. Our team is checking your order status.,Technical,Polite,High
Order Delay,Client,When will my refund be processed?,Please provide more details so we can assist you with the payment issue.,Refund,Formal,Medium
Order Delay,Customer,I need help with my account.,Please provide more details so we can assist you with the payment issue.,Billing,Formal,High
Login Issue,Member,My order has not been delivered yet.,Our support team will assist you shortly with your account issue.,Refund,Formal,Medium
Login Issue,User,When will my refund be processed?,Thank you for reaching out. Please reset your password using the provided link.,Billing,Polite,Low
Account Support,Customer,When will my refund be processed?,Thank you for reaching out. Please reset your password using the provided link.,Refund,Formal,Low
Payment Problem,Client,I am facing payment issues.,Please provide more details so we can assist you with the payment issue.,Refund,Formal,Low
Refund Request,Client,My order has not been delivered yet.,Your refund is being processed and will be completed within 5-7 business days.,Technical,Polite,High
Login Issue,Member,I need help with my account.,Your refund is being processed and will be completed within 5-7 business days.,Refund,Polite,Low
Account Support,Client,My order has not been delivered yet.,Your refund is being processed and will be completed within 5-7 business days.,Technical,Polite,High
Payment Problem,Client,My order has not been delivered yet.,Thank you for reaching out. Please reset your password using the provided link.,Technical,Formal,Low
Account Support,Member,I am unable to login to my account.,We apologize for the delay. Our team is checking your order status.,Technical,Polite,Medium
Order Delay,Customer,When will my refund be processed?,Thank you for reaching out. Please reset your password using the provided link.,General,Formal,Low
Order Delay,User,My order has not been delivered yet.,Our support team will assist you shortly with your account issue.,Delivery,Formal,Medium
Payment Problem,Member,I need help with my account.,We apologize for the delay. Our team is checking your order status.,General,Formal,Medium
Account Support,User,When will my refund be processed?,Please provide more details so we can assist you with the payment issue.,Delivery,Polite,Low
Payment Problem,Client,I am facing payment issues.,Our support team will assist you shortly with your account issue.,Technical,Formal,Medium
Account Support,Customer,My order has not been delivered yet.,Thank you for reaching out. Please reset your password using the provided link.,General,Formal,Medium
Payment Problem,Client,My order has not been delivered yet.,We apologize for the delay. Our team is checking your order status.,General,Polite,High
Order Delay,User,My order has not been delivered yet.,Your refund is being processed and will be completed within 5-7 business days.,General,Formal,Medium
Account Support,User,When will my refund be processed?,Please provide more details so we can assist you with the payment issue.,Delivery,Polite,Low
Payment Problem,Member,I am unable to login to my account.,Thank you for reaching out. Please reset your password using the provided link.,Technical,Polite,Low
Payment Problem,Customer,I am unable to login to my account.,We apologize for the delay. Our team is checking your order status.,General,Polite,Medium
Account Support,Customer,I am facing payment issues.,Please provide more details so we can assist you with the payment issue.,Refund,Polite,High
Order Delay,Client,I am unable to login to my account.,Our support team will assist you shortly with your account issue.,Delivery,Formal,Low
Refund Request,Member,I need help with my account.,Please provide more details so we can assist you with the payment issue.,General,Formal,High
Refund Request,Client,When will my refund be processed?,Your refund is being processed and will be completed within 5-7 business days.,Refund,Formal,Low
Login Issue,Customer,My order has not been delivered yet.,Our support team will assist you shortly with your account issue.,Billing,Polite,High
Payment Problem,User,I am unable to login to my account.,Your refund is being processed and will be completed within 5-7 business days.,Technical,Formal,High
Login Issue,Member,When will my refund be processed?,Please provide more details so we can assist you with the payment issue.,Refund,Formal,High
Account Support,Member,I am unable to login to my account.,Please provide more details so we can assist you with the payment issue.,Delivery,Polite,High
Login Issue,User,I am facing payment issues.,Please provide more details so we can assist you with the payment issue.,General,Formal,Low
Order Delay,Client,When will my refund be processed?,We apologize for the delay. Our team is checking your order status.,Technical,Formal,Medium
Refund Request,User,I am unable to login to my account.,Thank you for reaching out. Please reset your password using the provided link.,Billing,Formal,Low
Login Issue,Customer,I need help with my account.,We apologize for the delay. Our team is checking your order status.,Billing,Polite,High
Order Delay,User,I am unable to login to my account.,Your refund is being processed and will be completed within 5-7 business days.,Refund,Formal,Medium
Order Delay,Client,When will my refund be processed?,We apologize for the delay. Our team is checking your order status.,Technical,Formal,Medium
Payment Problem,Client,I am unable to login to my account.,We apologize for the delay. Our team is checking your order status.,Refund,Formal,Low
Login Issue,Client,I need help with my account.,Our support team will assist you shortly with your account issue.,Delivery,Formal,Medium
Refund Request,Customer,I am facing payment issues.,Thank you for reaching out. Please reset your password using the provided link.,Refund,Polite,Medium
Order Delay,Member,I need help with my account.,We apologize for the delay. Our team is checking your order status.,Delivery,Formal,High
Account Support,Member,My order has not been delivered yet.,Your refund is being processed and will be completed within 5-7 business days.,Refund,Formal,High
Login Issue,Client,I need help with my account.,Our support team will assist you shortly with your account issue.,Refund,Formal,Medium
Account Support,Client,I need help with my account.,Our support team will assist you shortly with your account issue.,Technical,Polite,High
Login Issue,Client,I am facing payment issues.,We apologize for the delay. Our team is checking your order status.,General,Polite,Low
Order Delay,Member,I am unable to login to my account.,Your refund is being processed and will be completed within 5-7 business days.,Delivery,Polite,High
Account Support,Member,My order has not been delivered yet.,Your refund is being processed and will be completed within 5-7 business days.,Billing,Formal,Low
Account Support,Member,I am facing payment issues.,Thank you for reaching out. Please reset your password using the provided link.,General,Formal,High
Login Issue,Member,I need help with my account.,Please provide more details so we can assist you with the payment issue.,General,Polite,Low
